"","Operational","State","Type","Latitude","Longitude","SimpleType"
"181","YES","Nebraska","Sterilizer",40.873183,-96.638386,"Sterilizer"
"182","YES","Nevada","Sterilizer",39.531423,-119.795306,"Sterilizer"
"183","YES","Nevada","2 Sterilizers",36.086868,-115.147765,"Sterilizer"
"184","YES","Nevada","Incinerator",39.50589,-119.77597,"Incinerator"
"185","YES","Nevada","Sterilizer",36.144104,-115.14408,"Sterilizer"
"186","YES","New Jersey","Incinerator",40.734664,-74.126984,"Incinerator"
"187","YES","New Jersey","Incinerator",39.912596,-75.118136,"Incinerator"
"188","Yes","Alabama","Energy Recovery Incinerator",34.669624,-86.610439,"Incinerator"
"189","Yes","Alabama","Incinerator",33.558851,-86.74789,"Incinerator"
"190","YES","Alaska","Incinerator",58.359812,-134.58869,"Incinerator"
"191","YES","Alaska","Sterilizer",61.175672,-149.969342,"Sterilizer"
"192","YES","Alaska","2 Sterilizers",61.17536,-149.968143,"Sterilizer"
"193","YES","Alaska","Incinerator and steam sterilizer",61.488668,-149.690287,"Sterilizer"
"194","YES","Alaska","2 Incinerators",64.839761,-147.678255,"Incinerator"
"195","YES","Alaska","Incinerator",64.812408,-147.874183,"Incinerator"
"196"," ","Alaska","Incinerator",61.23724,-149.84214,"Incinerator"
"197","YES","Alaska","Incinerator",59.581505,-135.197293,"Incinerator"
"198"," ","Alaska","Incinerator",64.676853,-147.073233,"Incinerator"
"199","YES","Arizona","Sterilizer",33.287463,-111.959321,"Sterilizer"
"200","YES","Arizona","Incinerator",32.120953,-110.937548,"Incinerator"
"201","YES","Arizona","Incinerator",32.66856,-114.59825,"Incinerator"
"202","YES","Arizona","Sterilizer",33.415077,-112.021313,"Sterilizer"
"203","YES","Arkansas","Incinerator",33.206555,-92.629108,"Incinerator"
"204","YES","Arkansas","Sterilizer",34.898806,-92.135709,"Sterilizer"
"205","YES","Arkansas","Incinerator",34.72811,-92.22037,"Incinerator"
"206","YES, ADDED","California","Sterilizer",33.913104,-118.384652,"Sterilizer"
"207","YES, ADDED","California","Caterer Uses Incinerator Service",33.909153,-118.307456,"Incinerator"
"208","YES","California","Sterilizer",38.688072,-121.596144,"Sterilizer"
"209","YES","California","Sterilizer",32.712158,-117.049378,"Sterilizer"
"210","YES - Operational - NOT Processing RG - Sterilizer handles Oakland Facility RG","California","Sterilizer",38.511183,-122.788942,"Sterilizer"
"211","YES - Operational: Still processing RG","California","Sterilizer",37.61477,-122.39179,"Sterilizer"
"212","YES","California","Steam Cooker",33.708485,-117.868068,"Steam Cooker"
"213","YES","California","Steam Cooker",34.061017,-117.729306,"Steam Cooker"
"214","YES","California","Sterilizer",33.905971,-118.169697,"Sterilizer"
"215","Yes","California","Sterilizer",33.887024,-117.597183,"Sterilizer"
"216","YES - Still Receiving RG","California","Sterilizer",36.883621,-121.392049,"Sterilizer"
"217","YES","California","Sterilizer",34.00194,-118.186031,"Sterilizer"
"218","YES","California","Sterilizer",34.014437,-118.220478,"Sterilizer"
"219","YES - Still Receiving RG","California","Steam Cooker",37.65607,-122.4142,"Steam Cooker"
"220","YES","Colorado","Sterilizer",39.833107,-104.67192,"Sterilizer"
