"edge_origin","product_origin","n"
"USA","FIN",1
"USA","GBR",1
"USA","HND",1
"USA","NOR",1
"USA","PRY",1
"USA","SGP",1
"USA","SLV",1
"USA","THA",1
"USA","TUN",1
"USA","URY",1
"VNM","SGP",1
"ZMB","ZMB",1
