"owner","Events","Animal Products (kg)","Min Animal (kg)","Max Animal (kg)","Median Animal (kg)","Mean Animal (kg)","Events with Animal Seizures","Events with Plant Seizures"
"Florida",170,0,Inf,-Inf,NA,NA,0,0
"Puerto Rico",207,614.4130436,0,29.029888,1.13398,2.96817895458937,207,207
