"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
201,"CARLAKECIO","CA",NA,NA,NA
202,"LOAS ANGELOS","CA","Los Angeles",34.05223,-118.24368
203,"ROOSEVELT","GA",NA,NA,NA
204,"CATREDAL CITY","CA","Cathedral City",33.77974,-116.46529
205,"TARECULA","CA","Temecula",33.49364,-117.14836
206,"SAN SYIDRO","CA","San Pedro",33.73585,-118.29229
207,"MONTEBELLA","CA","Montebello",34.00946,-118.10535
208,"NEVERLAND","TX","Nederland",29.97438,-93.9924
209,"VAN NUGS","CA","Van Nuys",34.18667,-118.44897
210,"CONCURD","CA","Concord",37.97798,-122.03107
211,"PLANES CITY","FL","Plant City",28.01888,-82.11469
212,"DENVER","WY","Lander",42.83301,-108.73067
213,"PALMVIEW","FL","Bellview",30.46159,-87.31497
214,"STEAM BOAT","CO",NA,NA,NA
215,"SYUMA","AZ","Yuma",32.72532,-114.6244
216,"VICTOR VILLE","CA","Victorville",34.53611,-117.29116
217,"SAN FREANSCO","CA","San Francisco",37.77493,-122.41942
218,"CHULA VISTA","AR","Bella Vista",36.4807,-94.27134
219,"SAN YIDRO","CA","San Pedro",33.73585,-118.29229
220,"MEMPHI","TN","Memphis",35.14953,-90.04898
221,"LRVIN","TX","Alvin",29.42385,-95.2441
222,"INNIS","TX","Ennis",32.32931,-96.62527
223,"TEAECULA","CA","Temecula",33.49364,-117.14836
224,"CORINA","CA","Corona",33.87529,-117.56644
225,"WINACHI","CA",NA,NA,NA
226,"SEATTLE","CA","Santee",32.83838,-116.97392
227,"ENCENITAS","CA","Encinitas",33.03699,-117.29198
228,"LE PASO","TX","El Paso",31.75872,-106.48693
229,"PONAMONT","CA","Lamont",35.25968,-118.91427
230,"MOOJESTO","CA","Modesto",37.6391,-120.99688
231,"COMTOWNSHIP","MI",NA,NA,NA
232,"CANNTILLO","TX","Canutillo",31.91149,-106.60027
233,"C PARK","CA","Newark",37.52966,-122.04024
234,"MONROSE","CO","Montrose",38.47832,-107.87617
235,"LOS CRUCES","NM","Las Cruces",32.31232,-106.77834
236,"PURDUE","IN","Peru",40.75365,-86.06888
237,"LOLLISTER","CA","Hollister",36.85245,-121.4016
238,"SAN BORNARDINO","CA","San Bernardino",34.10834,-117.28977
239,"ARKANSAS","TX",NA,NA,NA
240,"SAN DIEGO","AK",NA,NA,NA
241,"SAN YSIDDRO","CA",NA,NA,NA
242,"FORTSMITH","AR","Fort Smith",35.38592,-94.39855
243,"ASUZA","CA","Anza",33.55503,-116.67363
244,"BARRET","CA","Garnet",33.927,-116.477
245,"SUISUA","CA","Suisun",38.23825,-122.04024
246,"VASALIA","CA","Visalia",36.33023,-119.29206
247,"HIDALG0","TX","Hidalgo",26.10035,-98.26307
248,"GILA  BEND","AZ","Gila Bend",32.94782,-112.71683
249,"GLENDALE","IL","Avondale",41.93892,-87.71117
250,"POLAMA","CA","Colma",37.67688,-122.45969
