"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
2301,"MITCHELL FIELD","NY",NA,NA,NA
2302,"MUSKAGEE","MI","Muskegon",43.23418,-86.24839
2303,"SWEETHOME","OR","Sweet Home",44.39762,-122.7362
2304,"TORPON SPRINGS","FL","Tarpon Springs",28.14612,-82.75677
2305,"HALENDALE","IA",NA,NA,NA
2306,"KAMULEA","HI","Kahului",20.88933,-156.47293
2307,"SUNNYVALE","VA",NA,NA,NA
2308,"HARDON","VA","Herndon",38.96955,-77.3861
2309,"HOSTON","TX","Houston",29.76328,-95.36327
2310,"VALLEY VILLAGER","CA",NA,NA,NA
2311,"WHITETOWN","MA","Watertown",42.37093,-71.18283
2312,"EWA BEACH","HI","'Ewa Beach",21.31556,-158.00722
2313,"WEST LAKE","CA","West Park",36.71023,-119.85126
2314,"WAULLESHA","WI","Waukesha",43.01168,-88.23148
2315,"DERRY N","NH","Derry",42.88064,-71.32729
2316,"WAVKEGAN","IL","Waukegan",42.36363,-87.84479
2317,"MOUNT VERNON","CA","Mount Hermon",37.05106,-122.05857
2318,"YUBA","CA","Anza",33.55503,-116.67363
2319,"GREENBORO","NC","Greensboro",36.07264,-79.79198
2320,"INDIANOLA","IN","Indianapolis",39.76838,-86.15804
2321,"CHAPEL HILLS","NC","Chapel Hill",35.9132,-79.05584
2322,"WAKEFIELD","NC",NA,NA,NA
2323,"FALLSBROOK","CA","Fallbrook",33.37642,-117.25115
2324,"RANKIN","WA","Manson",47.88486,-120.15841
2325,"JAMAICA PLAINS","MA","Jamaica Plain",42.30982,-71.12033
2326,"BRADENWATER","FL",NA,NA,NA
2327,"PLEASEANT HILL","CA","Pleasant Hill",37.94798,-122.0608
2328,"HAMER","SC","Bamberg",33.2971,-81.03482
2329,"MATTHEWS","TX","Mathis",28.09446,-97.82805
2330,"GARNET VALLEY","PA",NA,NA,NA
2331,"NORTH CHATHAM","NY",NA,NA,NA
2332,"LOCKBOURNE","OH","Lockbourne Village",39.8089,-82.987294
2333,"RANFORD","IL","Hartford",38.83338,-90.09594
2334,"MARIETTA","CA","Maricopa",35.05886,-119.40095
2335,"ST. LOUIS","CA",NA,NA,NA
2336,"EDEN PRARIE","MN","Eden Prairie",44.85469,-93.47079
2337,"MALVEN","PA","Malvern",40.03622,-75.51381
2338,"KOOTENAI","IN",NA,NA,NA
2339,"CEADER HILL","TX","Cedar Hill",32.58847,-96.95612
2340,"INDIAN TRAIN","NC","Indian Trail",35.07681,-80.66924
2341,"OSLO","IT",NA,NA,NA
2342,"ECINITAS","CA","Encinitas",33.03699,-117.29198
2343,"PLAYA DEL RAY","CA",NA,NA,NA
2344,"NEW ORLANDS","LA","New Orleans",29.95465,-90.07507
2345,"BROOKLYN","ME","Brooks",44.55035,-69.12087
2346,"PLEASTON","CA","Pleasanton",37.66243,-121.87468
2347,"KEY GARDENS","NY","Kew Gardens",40.71427,-73.83097
2348,"TULSA","OR","Nyssa",43.87683,-116.99488
2349,"CLUTCH CITY","TX","Clute City",29.025851,-95.398229
2350,"EAST TOWN","KY",NA,NA,NA
