"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1551,"PITBULL","TX","Diboll",31.18713,-94.78104
1552,"LEMONT","CA","Lamont",35.25968,-118.91427
1553,"SAN MARANDING","CA",NA,NA,NA
1554,"ORANGE ANAHEIM","CA",NA,NA,NA
1555,"SIERRA MESA","CA","Mira Mesa",32.9156,-117.14392
1556,"ATANA","AZ","Marana",32.43674,-111.22538
1557,"VICTORVILLE","DE",NA,NA,NA
1558,"READING","CA","Redding",40.58654,-122.39168
1559,"MEZA","CA","Anza",33.55503,-116.67363
1560,"RIDELAND","MS","Ridgeland",32.42848,-90.13231
1561,"LEMONE","CA","Lamont",35.25968,-118.91427
1562,"CANTON","CA","Carson",33.83141,-118.28202
1563,"LANSAY","OR","Canby",45.2629,-122.69259
1564,"PAMPANO BEACH","TX",NA,NA,NA
1565,"SOLANO BEACH","CA","Solana Beach",32.99115,-117.27115
1566,"HERALD HEIGHTS","CA",NA,NA,NA
1567,"BRAKETTVILLE","TX","Brackettville",29.31051,-100.41786
1568,"LONGVOTE","FL","Longwood",28.70305,-81.3384
1569,"VALLENCIA","CA","Valencia",34.44361,-118.60953
1570,"CANOSHIA","WI","Kenosha",42.58474,-87.82119
1571,"LRVINE","CA","Irvine",33.66946,-117.82311
1572,"CALGARY CANADA","IT",NA,NA,NA
1573,"KEY PORT","CA",NA,NA,NA
1574,"WASHINGTON STATE","WA",NA,NA,NA
1575,"CARTHAG","MT",NA,NA,NA
1576,"TACOMA","CA","Tahoma",39.06741,-120.12824
1577,"DAVENPORT","IN",NA,NA,NA
1578,"PALOMER","CA","Parlier",36.61162,-119.52707
1579,"SPOKANE","CA",NA,NA,NA
1580,"SAN DIEGO","RI",NA,NA,NA
1581,"SEASIDE","DE",NA,NA,NA
1582,"SANHEIM","CA","Anaheim",33.83529,-117.9145
1583,"PALAMAR","CA","Sylmar",34.30778,-118.44925
1584,"MEPHIS","TN","Memphis",35.14953,-90.04898
1585,"YNISH","CA","Ukiah",39.15017,-123.20778
1586,"POMANA","CA","Pomona",34.05529,-117.75228
1587,"PALOMA","AZ","Salome",33.78114,-113.61465
1588,"INDI","CA","Indio",33.7207,-116.21677
1589,"DESERT MIRAGE","CA",NA,NA,NA
1590,"EAST PALAMER","CA",NA,NA,NA
1591,"PARAMONT","CA","Paramount",33.88946,-118.15979
1592,"CASA GRANDA","AZ","Casa Grande",32.8795,-111.75735
1593,"VIGALIA","CA","Visalia",36.33023,-119.29206
1594,"GADSDON","AZ","Ganado",35.7114,-109.54205
1595,"CAWPATMA","CA",NA,NA,NA
1596,"GREENSVILLE","AR",NA,NA,NA
1597,"KENTUCKY","IL",NA,NA,NA
1598,"PORTEVILLE","CA","Porterville",36.06523,-119.01677
1599,"REDBLUFF","CA","Red Bluff",40.17849,-122.23583
1600,"LEXINGTON","CA","Kensington",37.91048,-122.28025
