"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1351,"BLACK CALIFORNIA","CA",NA,NA,NA
1352,"MANSFORD","OR","Medford",42.32652,-122.87559
1353,"LA MES","CA","La Mesa",32.76783,-117.02308
1354,"LAKE PARK","GA","Lake Park City",30.68556,-83.187704
1355,"JUNKAN","AK","Juneau",58.30194,-134.41972
1356,"SALIANAS","CA","Salinas",36.67774,-121.6555
1357,"WARREN","AZ","Laveen",33.36282,-112.16932
1358,"MERIFEE","CA","Menifee",33.72835,-117.14642
1359,"PAKER","AZ","Parker",34.15002,-114.28912
1360,"HORTON","TX","Morton",33.7251,-102.75938
1361,"LAMESA","CA","La Mesa",32.76783,-117.02308
1362,"BRIGHTEN","CO","Brighton",39.98526,-104.82053
1363,"TUSCALOOSA","FL",NA,NA,NA
1364,"ANCHORISH","AK","Anchorage",61.21806,-149.90028
1365,"QUARTZSITE","CA",NA,NA,NA
1366,"TENTON","KY","Benton",36.85728,-88.35031
1367,"LAJOYA","TX","La Joya",26.24702,-98.48141
1368,"PINE TOP","AZ","Pine Cdp",34.380348,-111.460476
1369,"HERBRONVILLE","TX","Hebbronville",27.30688,-98.68032
1370,"SANTA FE","NJ",NA,NA,NA
1371,"NAPLE","TX","Naples",33.20318,-94.68021
1372,"SAUHARITA","AZ","Sahuarita",31.95758,-110.95565
1373,"BILUXI","MS","Biloxi",30.39603,-88.88531
1374,"BART","CA","Galt",38.25464,-121.29995
1375,"ROSEWELL","NM","Roswell",33.39437,-104.52491
1376,"SANTEE","DE",NA,NA,NA
1377,"RANCHO SANTA FE","DE",NA,NA,NA
1378,"PIORIA","AZ","Peoria",33.5806,-112.23738
1379,"SAN JUGUIN","CA","San Joaquin",36.60662,-120.18904
1380,"HOBBS","NJ","Fords",40.52927,-74.31598
1381,"GRAVEL BEACH","CA","Grover Beach",35.12164,-120.62128
1382,"LOS BAÑOS","CA","Los Banos",37.05828,-120.84992
1383,"SAN CARLO","AZ","San Carlos",33.34562,-110.45504
1384,"BARR","CA","Bell",33.97751,-118.18702
1385,"CHULA VISTA","VT",NA,NA,NA
1386,"SANTA MARINO","CA","San Marino",34.1214,-118.10646
1387,"WATTSON VILLE","CA","Watsonville",36.91023,-121.75689
1388,"MORENA","CA","Corona",33.87529,-117.56644
1389,"MOOR PARK","CA","Moorpark",34.28556,-118.88204
1390,"SAN QUINTEE","CA",NA,NA,NA
1391,"MARENO","CA","Marina",36.6844,-121.80217
1392,"POTRERO","AR",NA,NA,NA
1393,"MEMPHERE","OR",NA,NA,NA
1394,"METFORD","OR","Medford",42.32652,-122.87559
1395,"SELENO","CA","Delano",35.76884,-119.24705
1396,"WAYCO","TX","Waco",31.54933,-97.14667
1397,"WYOMING","CA",NA,NA,NA
1398,"KECHIGAN","AK","Ketchikan",55.3418,-131.64757
1399,"MOPA","CA","Napa",38.29714,-122.28553
1400,"QUADRILLA","TX",NA,NA,NA
