"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1001,"GEORGWETOWN","TX","Georgetown",30.63269,-97.67723
1002,"PASCALULA","MI",NA,NA,NA
1003,"FORTHWORTH","TX","Fort Worth",32.72541,-97.32085
1004,"CINCINATTI","OH","Cincinnati",39.12711,-84.51439
1005,"FIREBALL","CA","Firebaugh",36.85884,-120.45601
1006,"ALBANY","WA","Algona",47.27899,-122.25206
1007,"HANGTINGTON PARK","CA","Huntington Park",33.98168,-118.22507
1008,"RICH CREST","CA",NA,NA,NA
1009,"LAS MIPAS","TX","Las Lomas",26.36479,-98.7753
1010,"UNKNOWN","NC",NA,NA,NA
1011,"LAKEISDE","CA","Lakeside",32.85727,-116.92225
1012,"CAPISTARNO BEACH","CA",NA,NA,NA
1013,"LOWISBURG","NC","Louisburg",36.09904,-78.30111
1014,"LOWVILLE","KY","Annville",37.31925,-83.97048
1015,"TEMECULAC","CA","Temecula",33.49364,-117.14836
1016,"AVIAN","TN","Apison",35.02396,-85.02384
1017,"DINCEBO","CA","Dinuba",36.54328,-119.38707
1018,"WATSUNVILLE","CA","Watsonville",36.91023,-121.75689
1019,"SAELY","TX","Sealy",29.78079,-96.15718
1020,"WEST CONINA","CA","West Covina",34.06862,-117.93895
1021,"GRAYSON","CO",NA,NA,NA
1022,"JULLIETE","IL","Joliet",41.52519,-88.0834
1023,"TECATE","DE",NA,NA,NA
1024,"UNKNOWN","CA",NA,NA,NA
1025,"SAINT LOIUS","MO","Saint Johns",38.71338,-90.34317
1026,"RIO","TX","Hico",31.98293,-98.03365
1027,"BLY","AZ","Eloy",32.7559,-111.55484
1028,"SPARTARBURG","CA",NA,NA,NA
1029,"MIRANDA CITY","TX","Midland City",32.024642,-102.113467
1030,"TULOCK","CA","Turlock",37.49466,-120.84659
1031,"RAWLY","NC","Ranlo",35.28625,-81.13035
1032,"OLD RIVER","OR","Hood River",45.7054,-121.52146
1033,"SOCORRO","UT",NA,NA,NA
1034,"HERMITAGE","AR","Hermitage City",33.447372,-92.171455
1035,"LAREDO","VT",NA,NA,NA
1036,"TORONTO","DC",NA,NA,NA
1037,"NEW PORT BEACH","CA","Newport Beach",33.61891,-117.92895
1038,"RODONDO BEACH","CA","Redondo Beach",33.84918,-118.38841
1039,"LIFKIN","TX","Lufkin",31.33824,-94.7291
1040,"SUR DEL MONTE","CA",NA,NA,NA
1041,"GREENSBUR","KY","Greensburg",37.26089,-85.49885
1042,"RUIODOSO","NM","Ruidoso",33.33175,-105.67304
1043,"MILPAS","TX","Milam",31.4324,-93.84574
1044,"EPTON","KY","Elkton",36.81004,-87.15417
1045,"MONETTA","SC","Monetta Town",33.849987,-81.609932
1046,"FERTUS FALLS","MN","Fergus Falls",46.28302,-96.07756
1047,"GRIMBO","TX","Frisco",33.15067,-96.82361
1048,"WINDSON","CO","Windsor",40.47748,-104.90136
1049,"JONHSTON","TX","Jonestown",30.49547,-97.92335
1050,"ARMARILLO","TX","Amarillo",35.222,-101.8313
