"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
851,"NOEL","VA",NA,NA,NA
852,"MESA","TX","Elsa",26.2934,-97.99306
853,"LOS MILPAS","TX",NA,NA,NA
854,"SAN DIEGO","NJ",NA,NA,NA
855,"TURLOCH","CA","Turlock",37.49466,-120.84659
856,"VAN AWAYS","CA","Van Nuys",34.18667,-118.44897
857,"BOULDER CITY","CA","Culver City",34.02112,-118.39647
858,"LONG BEACH","TX",NA,NA,NA
859,"BALBOA PARK","CA",NA,NA,NA
860,"CANUTILLO","NM",NA,NA,NA
861,"KINGMAN","CA","Kerman",36.72356,-120.05988
862,"CATHEDRAL CITY","DE",NA,NA,NA
863,"ORLANDO VALLEY","CA",NA,NA,NA
864,"CHICAGO","MA",NA,NA,NA
865,"BAKERSFIELD","TX",NA,NA,NA
866,"OMAHA","OK","Okemah",35.43259,-96.30501
867,"TUMACOCOORI","AZ",NA,NA,NA
868,"VDLENCID","CA","Valencia",34.44361,-118.60953
869,"STAFFORD","AZ","Safford",32.83395,-109.70758
870,"CONNETICUT","CT",NA,NA,NA
871,"MERCEO","CA","Merced",37.30216,-120.48297
872,"PONIT LOMA","CA",NA,NA,NA
873,"PHILADELPHIA","NJ",NA,NA,NA
874,"LA HABLA","CA","La Habra",33.93196,-117.94617
875,"JAMULK","CA","Jamul",32.717,-116.87613
876,"DALLES","TX","Dallas",32.78306,-96.80667
877,"ST. DAVID","AZ","St. David Cdp",31.886037,-110.221485
878,"WHITCOMB","WA",NA,NA,NA
879,"CAEXICO","CA","Calexico",32.67895,-115.49888
880,"POST","AZ","Mesa",33.42227,-111.82264
881,"RAYFORD","TX","Lyford",26.41229,-97.78972
882,"FERMING","NM","Deming",32.2687,-107.75864
883,"HUNINGTON","CA","Kensington",37.91048,-122.28025
884,"VAISELA","CA","Visalia",36.33023,-119.29206
885,"GREENSBORO","LA","Greensburg",30.83074,-90.67176
886,"DOME VALLEY","AZ","Deer Valley",33.68393,-112.13488
887,"SAN DIGO","CA","San Diego",32.71571,-117.16472
888,"CALGARY/CANADA","CA",NA,NA,NA
889,"ROGERS","KS",NA,NA,NA
890,"SALINSA","CA","Salinas",36.67774,-121.6555
891,"PUEBLO","CA","Diablo",37.83493,-121.95801
892,"VERMONT","VT",NA,NA,NA
893,"PORTLAND OREGON","OR",NA,NA,NA
894,"POTEREO","CA","Monterey",36.60024,-121.89468
895,"RESEARCH TRIANGLE PARK","NC",NA,NA,NA
896,"COPART","CA","Cotati",38.32686,-122.70721
897,"BULK HEAD","AZ",NA,NA,NA
898,"TOPECA","KS","Topeka",39.04833,-95.67804
899,"COALCREEK","CA",NA,NA,NA
900,"DODGEHARBOR","AK",NA,NA,NA
