"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1851,"DONNA`","TX","Donna",26.17035,-98.05195
1852,"HIIDALGO","TX","Hidalgo",26.10035,-98.26307
1853,"EDINV=BURG","TX","Edinburg",26.30174,-98.16334
1854,"CUMMINS","GA","Cumming",34.20732,-84.14019
1855,"OAILAN","WY",NA,NA,NA
1856,"ORANGE CTY","CA","Orange City",33.786971,-117.861265
1857,"NATIONA CITY","CA","National City",32.67811,-117.0992
1858,"BONIT","CA","Bonita",32.65783,-117.03003
1859,"`HIDALGO","TX","Hidalgo",26.10035,-98.26307
1860,"IDAHO POST","ID",NA,NA,NA
1861,"GREELE","CO","Greeley",40.42331,-104.70913
1862,"TRUTH OF CONSECUENCES","TX",NA,NA,NA
1863,"ERBERG","CO","Erie",40.05026,-105.04998
1864,"TEMEQILA","CA","Temecula",33.49364,-117.14836
1865,"ORANGE AVE","CA","Orange Cove",36.62439,-119.31373
1866,"NATIONAL CTIY","CA","National City",32.67811,-117.0992
1867,"MCAQLLEN","TX","Mcallen",26.20341,-98.23001
1868,"ABRODA","CO","Aurora",39.72943,-104.83192
1869,"MERCEDES","CA","Merced",37.30216,-120.48297
1870,"CHAULA","CA","Chualar",36.57052,-121.51855
1871,"ONTOIO","CA","Ontario",34.06334,-117.65089
1872,"NASTIONAL CITY","CA","National City",32.67811,-117.0992
1873,"IMPERAL BEACH","AZ",NA,NA,NA
1874,"CHAPARAL","NM","Chaparral",32.02376,-106.38566
1875,"SCLEMENTE","CA",NA,NA,NA
1876,"ULYSSUS","KS","Ulysses",37.58141,-101.35517
1877,"TEANACK","NJ","Teaneck",40.8976,-74.01597
1878,"TOLARE","CA","Tulare",36.20773,-119.34734
1879,"SAN YSIRO","CA","San Pedro",33.73585,-118.29229
1880,"DAN DIEGO","CA","San Diego",32.71571,-117.16472
1881,"TAOOS","NM","Taos",36.40725,-105.57307
1882,"LSA FERIA","TX","La Feria",26.15896,-97.82389
1883,"FLUGERVILLE","TX","Krugerville",33.28151,-96.99056
1884,"SENECA","CA","Benicia",38.04937,-122.15858
1885,"JUANITA","FL",NA,NA,NA
1886,"SALT  LAKE CITY","UT","Salt Lake City",40.76078,-111.89105
1887,"RANGEVIEW","CO",NA,NA,NA
1888,"SENECA","AZ","Sedona",34.86974,-111.76099
1889,"SANT ANNA","CA","Santa Ana",33.74557,-117.86783
1890,"SY","AR","Bay",35.7423,-90.56233
1891,"LAKE ELSIMP","CA",NA,NA,NA
1892,"N.C","CA","Nice",39.12323,-122.84833
1893,"GRUSSMONT","CA",NA,NA,NA
1894,"UMALENY","FL",NA,NA,NA
1895,"SANT ANA","CA","Santa Ana",33.74557,-117.86783
1896,"WHITESVILLE","NC","Whiteville",34.33878,-78.70307
1897,"BOISE","IN","Hope",39.30394,-85.77137
1898,"PACERTACO","CA",NA,NA,NA
1899,"LAKE KOREST","CA","Lake Forest",33.64697,-117.68922
1900,"ELSDA","TX","Elsa",26.2934,-97.99306
