"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
2151,"CHARLOTTESVILLE","NC","Charlotte",35.22709,-80.84313
2152,"TROPPER","PA","Trooper",40.14983,-75.40185
2153,"SUMMAMISH","WA","Sammamish",47.64177,-122.0804
2154,"SLINGERLAND","NY",NA,NA,NA
2155,"CONYEAS","CA",NA,NA,NA
2156,"CHILE","IA","Clive",41.60304,-93.72411
2157,"COPELL","TX","Coppell",32.95457,-97.01501
2158,"LENOX DALE","ME",NA,NA,NA
2159,"GUAYAQUIL","IT",NA,NA,NA
2160,"ELISABETH","NJ","Elizabeth",40.66399,-74.2107
2161,"DORTMUND","DE",NA,NA,NA
2162,"EAST CHINA","IT",NA,NA,NA
2163,"BALDWINDALE","CA",NA,NA,NA
2164,"DEERBORN HEIGHTS","MI","Dearborn Heights",42.33698,-83.27326
2165,"WALTON BEACH","FL","Daytona Beach",29.21081,-81.02283
2166,"COVINGTON","CA","Livingston",37.38688,-120.72353
2167,"ILE","TX","Azle",32.89513,-97.54586
2168,"WILLAMSBURG","VA","Williamsburg",37.2707,-76.70746
2169,"SURSIDE","FL","Surfside",25.87843,-80.1256
2170,"BLOOMBURGH","PA","Bloomsburg",41.0037,-76.45495
2171,"CORRINGHAM","MA",NA,NA,NA
2172,"NEW CENTURY","KS","New Century",38.82253,-94.89971
2173,"OSKOSH","NE","Oshkosh",41.40498,-102.34436
2174,"SIGNAL HILLS","CA","Signal Hill",33.80446,-118.16785
2175,"ENGELWOOD","CO","Englewood",39.64777,-104.98776
2176,"BOGOR","PA","Bangor",40.86565,-75.20657
2177,"GLENROCK","NJ","Glen Rock",40.96288,-74.13292
2178,"WOODHOLE","MA",NA,NA,NA
2179,"CLEMONTON","NJ","Clementon",39.8115,-74.98294
2180,"HANNOVER","NH","Hanover",43.70229,-72.28954
2181,"SCARSBOURGH","ME","Scarborough",43.57814,-70.32172
2182,"HEIGHTSTOWN","NJ","Hightstown",40.26955,-74.52321
2183,"SAN JOSE","IL","Saint Joseph",40.1117,-88.0417
2184,"TERTRON","NJ","Newton",41.05815,-74.75267
2185,"GRANDFOLKS","ND","Grand Forks",47.92526,-97.03285
2186,"SANDURSKY","OH","Sandusky",41.44894,-82.70796
2187,"MAPLE GROOVE","MN","Maple Grove",45.07246,-93.45579
2188,"RANCHO DOMINQUEZ","CA",NA,NA,NA
2189,"MATAIRIE","LA","Metairie",29.98409,-90.15285
2190,"HIGH LANE","CA","Highland",34.12834,-117.20865
2191,"MARLBORO","NC","Carrboro",35.91014,-79.07529
2192,"SALLINE","MI","Saline",42.16671,-83.78161
2193,"HASTING","NE","Hastings",40.58612,-98.38839
2194,"WEST PORT","CT","Westport",41.14149,-73.3579
2195,"PORTMORE","MD","Woodmore",38.92122,-76.80303
2196,"ROMCOUVILLE","IL","Romeoville",41.64753,-88.08951
2197,"SANTURCE","PR",NA,NA,NA
2198,"GRIFFING","GA","Griffin",33.24678,-84.26409
2199,"ST. THOMAS","VI",NA,NA,NA
2200,"ANACORTA","WA","Anacortes",48.5126,-122.61267
