"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
751,"ENCITITAS","CA","Encinitas",33.03699,-117.29198
752,"SUNLANDPARK","NM","Sunland Park",31.7965,-106.57999
753,"DERWYN","IL","Berwyn",41.85059,-87.79367
754,"SILOAM","AR","Salem",36.37118,-91.82265
755,"TAROBORO","NC","Tarboro",35.89682,-77.5358
756,"ST. PAUL","MO","St. Paul City",38.848806,-90.740502
757,"SANTA ANE","CA","Santa Ana",33.74557,-117.86783
758,"CUMMINGS","GA","Cumming",34.20732,-84.14019
759,"CANBON","OR","Bandon",43.119,-124.40845
760,"UNKNOWN","SC","Union",34.71541,-81.62371
761,"WHITIER","CA","Whittier",33.97918,-118.03284
762,"KASAS CITY","KS","Kansas City",39.11417,-94.62746
763,"TOLLISON","AZ","Tolleson",33.45004,-112.25932
764,"MORO","CA","Boron",34.99942,-117.64978
765,"PANARAMA CITY","CA",NA,NA,NA
766,"ICELAND","CA","Ashland",37.69465,-122.11385
767,"LOVIS COLORADO","DE",NA,NA,NA
768,"MUDERTO","CA","Modesto",37.6391,-120.99688
769,"SANTA THERESA","NM","Santa Teresa",36.15335,-106.67948
770,"ALBA","NM","Mora",35.9742,-105.33001
771,"LODAY","CA","Lodi",38.1302,-121.27245
772,"AXUSA","CA","Azusa",34.13362,-117.90756
773,"CHRISTMAS","IL","Chrisman",39.80365,-87.67364
774,"GRAYSON","CA","Graton",38.4363,-122.86972
775,"BOILING","SC",NA,NA,NA
776,"NORTH PARK","SC",NA,NA,NA
777,"SNAHEIM","CA","Anaheim",33.83529,-117.9145
778,"GUATEMALA","CA",NA,NA,NA
779,"LITTLE ROCK","CA","Littlerock",34.5211,-117.98368
780,"DAVID COSTER","CA",NA,NA,NA
781,"HYDER","AZ","Mayer",34.39781,-112.23627
782,"OKLAHOMA CITY","TX","Omaha City",33.182746,-94.738515
783,"EL CENTO","CA","El Centro",32.792,-115.56305
784,"MAMOTH","AZ","Mammoth",32.72257,-110.64065
785,"GILRAY","CA","Gilroy",37.00578,-121.56828
786,"WICHITA","AR",NA,NA,NA
787,"ALAM","TX","Alamo",26.18369,-98.12306
788,"PORTOVILLE","CA","Porterville",36.06523,-119.01677
789,"ROCK SPRING","WY","Rock Springs",41.58746,-109.2029
790,"TUSCON","AZ","Tucson",32.22174,-110.92648
791,"LE CENTRO","CA","El Centro",32.792,-115.56305
792,"SAHUARTIA","AZ","Sahuarita",31.95758,-110.95565
793,"AMERICA FALLS","ID","American Falls",42.78602,-112.85444
794,"COCKER BAY","LA",NA,NA,NA
795,"PLAINEVIEW","TX","Plainview",34.18479,-101.70684
796,"IRVIN","CA","Arvin",35.20913,-118.82843
797,"LIVINGSTOWN","CA","Livingston",37.38688,-120.72353
798,"ALAHAMBRA","CA","Alhambra",34.09529,-118.12701
799,"MORGATE","FL","Margate",26.24453,-80.20644
800,"OLATHA","KS","Olathe",38.8814,-94.81913
