"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1151,"MAIR MESA","CA","Mira Mesa",32.9156,-117.14392
1152,"OXFNERL","CA","Oxnard",34.1975,-119.17705
1153,"SALT LAKE CITY","CA","Shasta Lake City",40.676564,-122.380909
1154,"SAN ELIZORIO","TX","San Elizario",31.58511,-106.27276
1155,"LAKE MORENA","CA","Lake Forest",33.64697,-117.68922
1156,"SUSA","CA","Azusa",34.13362,-117.90756
1157,"GREYTOWN","KS",NA,NA,NA
1158,"ATLANTO","GA","Atlanta",33.749,-84.38798
1159,"ROBERTAONVILLE","NC","Robersonville",35.82516,-77.24913
1160,"HALLSVILLE","AL","Haleyville",34.22649,-87.62141
1161,"PIONT LOMA","CA",NA,NA,NA
1162,"HUNGTINGTON PARK","CA","Huntington Park",33.98168,-118.22507
1163,"NORTH SHORES","CA","North Shore Cdp",33.514576,-115.910959
1164,"GREENSBORO","MS",NA,NA,NA
1165,"CENTRAL CENTER","CO",NA,NA,NA
1166,"OXARD","CA","Oxnard",34.1975,-119.17705
1167,"MCALLE","NE","Eagle",40.81667,-96.43029
1168,"ABEVILLE","LA","Abbeville",29.97465,-92.13429
1169,"SAN SAN YSIDRO","CA",NA,NA,NA
1170,"MOREN VALLEY","CA","Moreno Valley",33.93752,-117.23059
1171,"CANOTILLO","TX","Canutillo",31.91149,-106.60027
1172,"REVLONS","CA","Redlands",34.05557,-117.18254
1173,"PITTSBURGH","CA","Pittsburg",38.02798,-121.88468
1174,"LUNTA GORDA","FL","Punta Gorda",26.92978,-82.04537
1175,"CELIS","CA","Ceres",37.59493,-120.95771
1176,"SAN LUIS","ID",NA,NA,NA
1177,"MANIFEE","CA","Menifee",33.72835,-117.14642
1178,"MCNEIL","AZ","Scenic",36.79359,-114.01275
1179,"MISSION","NE","Madison",41.82834,-97.45505
1180,"NEW BRAUNSFELS","TX","New Braunfels",29.703,-98.12445
1181,"GADANA","CA","Gardena",33.88835,-118.30896
1182,"LONGMONT","CA","Lamont",35.25968,-118.91427
1183,"PLOMONA","CA","Pomona",34.05529,-117.75228
1184,"CUYAMACHA","CA",NA,NA,NA
1185,"PELANE","CA","Delano",35.76884,-119.24705
1186,"KINOSHA","WI","Kenosha",42.58474,-87.82119
1187,"BOTAL","AR","Bay",35.7423,-90.56233
1188,"GRACIE","CA","Graton",38.4363,-122.86972
1189,"HENDERSON VIEW","NC","Henderson City",36.32604,-78.414923
1190,"BULLHEAD CITY","CA","Bell City",33.979704,-118.179249
1191,"ST. JAMES","LA","St. James Cdp",30.018643,-90.850881
1192,"ODESSA","NM","Questa",36.70391,-105.59501
1193,"VANDEMERE","NC","Vander",35.03211,-78.79474
1194,"RANCHO LAS PALMAS","CA",NA,NA,NA
1195,"CULA VISTA","CA","Chula Vista",32.64005,-117.0842
1196,"YUACAIPA","CA","Yucaipa",34.03363,-117.04309
1197,"BLAINE","MT","Plains",47.46021,-114.88291
1198,"OHOENIX","AZ","Phoenix",33.44838,-112.07404
1199,"ARMADO","AZ","Ganado",35.7114,-109.54205
1200,"EL PASO","UT",NA,NA,NA
