"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1201,"AMANDO","AZ","Ganado",35.7114,-109.54205
1202,"BELLUEW","OH","Belpre",39.27396,-81.5729
1203,"MANFORD","OR","Medford",42.32652,-122.87559
1204,"ENKORAGE","AR",NA,NA,NA
1205,"PALVIEW","TX","Palmview",26.23341,-98.37085
1206,"BUENA","CA","Brea",33.91668,-117.90006
1207,"TRENTOR","NJ","Trenton",40.21705,-74.74294
1208,"MEACON","GA","Macon",32.84069,-83.6324
1209,"SAN BENTIO","TX","San Benito",26.13258,-97.6311
1210,"RAYMONSVILE","TX","Raymondville",26.48146,-97.78305
1211,"HOLIESTER","CA","Hollister",36.85245,-121.4016
1212,"LOS LAURELES","TX",NA,NA,NA
1213,"ORANGE CITY","CA","Orange City",33.786971,-117.861265
1214,"MARMESA","CA","Calimesa",34.0039,-117.06198
1215,"VANCOUVER","IT",NA,NA,NA
1216,"BACKVILLE","CA","Vacaville",38.35658,-121.98774
1217,"RAYMONVILLE","TX","Raymondville",26.48146,-97.78305
1218,"NEW YORK","CA","Newark",37.52966,-122.04024
1219,"SANTA ISABEL","CA",NA,NA,NA
1220,"PATOGONIA","AZ",NA,NA,NA
1221,"MANASSA","CO","Mancos",37.345,-108.28925
1222,"BEEVILE","TX","Beeville",28.40095,-97.74974
1223,"LA FUERTE","CA","La Puente",34.02001,-117.94951
1224,"CAHON CITY","TX","Canton City",32.554245,-95.863534
1225,"BOINTA","CA","Bonita",32.65783,-117.03003
1226,"TOMBSTONA","AZ","Tombstone",31.71287,-110.06758
1227,"HOMESTEAD","IN",NA,NA,NA
1228,"CHIRO HILLS","CA","Chino Hills",33.9938,-117.75888
1229,"LEMON GROOVE","CA","Lemon Grove",32.74255,-117.03142
1230,"CORTE VILLA","CA",NA,NA,NA
1231,"BULLHEAD","CA",NA,NA,NA
1232,"KILLEN","TX","Killeen",31.11712,-97.7278
1233,"ALOINC","CA","Alpine",32.83505,-116.76641
1234,"MEXICARI","CA",NA,NA,NA
1235,"HEPERIA","CA","Hesperia",34.42639,-117.30088
1236,"ALBUQUERQUE","TX",NA,NA,NA
1237,"LACOSTE","TX","La Coste",29.31079,-98.81003
1238,"ENJNITA","CA","Bonita",32.65783,-117.03003
1239,"KALEENE","TX","Keene",32.39681,-97.3239
1240,"COOLAGE","AZ","Coolidge",32.97784,-111.51762
1241,"GILA RIVER","AZ",NA,NA,NA
1242,"ENSENITAS","CA","Encinitas",33.03699,-117.29198
1243,"LEHHOX","CA","Lennox",33.93807,-118.35258
1244,"COBINA","CA","Covina",34.09001,-117.89034
1245,"SELINA","CA","Salida",37.70576,-121.08494
1246,"APPINE","CA","Alpine",32.83505,-116.76641
1247,"TULE LAKE","CA","Blue Lake",40.88291,-123.98395
1248,"VALLEY","CA","Oakley",37.99742,-121.71245
1249,"EDMONTON","IT",NA,NA,NA
1250,"RODEO","AZ",NA,NA,NA
