"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1651,"BEAMOUNT","CA","Beaumont",33.92946,-116.97725
1652,"MILWALKEY","WI","Milwaukee",43.0389,-87.90647
1653,"TUSTAN","CA","Tustin",33.74585,-117.82617
1654,"BREMERTON","CA",NA,NA,NA
1655,"BARTON","CA","Barstow",34.89859,-117.02282
1656,"SOUTH LAKE","UT","South Salt Lake",40.71884,-111.88827
1657,"VENTORA","CA","Ventura",34.27834,-119.29317
1658,"GILA VALLEY","AZ","Avra Valley",32.43785,-111.31539
1659,"LAKE TAHOE","NV",NA,NA,NA
1660,"BURNSVILLE","TX","Batesville",28.95108,-99.61783
1661,"HARFORD","WI","Hartford",43.31778,-88.37899
1662,"PASEDENA","CA","Pasadena",34.14778,-118.14452
1663,"CASTACO","CA","Castaic",34.48888,-118.62287
1664,"JUNEA","AK","Juneau",58.30194,-134.41972
1665,"IRWIN","IN",NA,NA,NA
1666,"SAINT GAMES","MI",NA,NA,NA
1667,"ALVIN","CA","Arvin",35.20913,-118.82843
1668,"DUZURA","CA","Agoura",34.14306,-118.73787
1669,"CALIPATRIA","LA",NA,NA,NA
1670,"QUEBEC","IT",NA,NA,NA
1671,"TORANCE","CA","Torrance",33.83585,-118.34063
1672,"CHELLIENDER","AZ",NA,NA,NA
1673,"TACHA","AZ","Naco",31.33538,-109.94813
1674,"PINA","AZ","Pima",32.89656,-109.82835
1675,"LA JABRA","CA","La Habra",33.93196,-117.94617
1676,"LONG ISLAND","NY","Coney Island",40.57788,-73.99403
1677,"EL CCENTRO","CA","El Centro",32.792,-115.56305
1678,"EDINBURGH","AZ",NA,NA,NA
1679,"WINTER HAVEN","CA",NA,NA,NA
1680,"BLUE GARDENS","CA","Bell Gardens",33.96529,-118.15146
1681,"BOULEVARDE","CA","Boulevard Cdp",32.664022,-116.289601
1682,"LAREDOT","TX","Laredo",27.50641,-99.50754
1683,"MANTORVILL","MN","Mantorville",44.06913,-92.75575
1684,"LONA BEACH","CA","Long Beach",33.76696,-118.18923
1685,"MONTEREY","LA","Montegut",30.07076,-90.50203
1686,"MOREHEAD","NC","Morehead City",34.72294,-76.72604
1687,"VIEJAS CASINO","CA",NA,NA,NA
1688,"ENCINITAR","CA","Encinitas",33.03699,-117.29198
1689,"SAN FERNARDO","CA","San Fernando",34.28195,-118.43897
1690,"LEMON GROCVE","CA","Lemon Grove",32.74255,-117.03142
1691,"SHORTER","AL","Shorter Town",32.411501,-85.972808
1692,"HELMET","CA","Hemet",33.74761,-116.97307
1693,"LAREDO","CA","Ladera",37.39994,-122.1983
1694,"COVINS","CA","Covina",34.09001,-117.89034
1695,"TULARI","CA","Tulare",36.20773,-119.34734
1696,"VICTORSVILLE","CA","Victorville",34.53611,-117.29116
1697,"ROSMEADE","CA","Rosemead",34.08057,-118.07285
1698,"WAPATO","CA","Esparto",38.69213,-122.01719
1699,"SANTA ANITA","CA","Santa Ana",33.74557,-117.86783
1700,"VENTARA","CA","Ventura",34.27834,-119.29317
