"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1101,"CORPUS CHRISTIE","TX","Corpus Christi",27.80058,-97.39638
1102,"WALLINGREEN","KY",NA,NA,NA
1103,"SPAIN","TX","Spring",30.07994,-95.41716
1104,"COLEOPOLIS","PA","Coraopolis",40.5184,-80.16672
1105,"T OR C","NM",NA,NA,NA
1106,"TILES","TX","Tilden",28.46194,-98.54918
1107,"ORANGE COUNTY","FL","Orange City",28.94888,-81.29867
1108,"LAFAYETTE","TN","Lafayette",36.52116,-86.02637
1109,"CORMBA","NY","Corona",40.74705,-73.86014
1110,"MOISSION","TX","Mission",26.21591,-98.32529
1111,"COLONBIA","MT",NA,NA,NA
1112,"IRIVING","TX","Irving",32.81402,-96.94889
1113,"CHINA HILLS","CA","Chino Hills",33.9938,-117.75888
1114,"MENDOCOFAY","AL",NA,NA,NA
1115,"CARSON CITY","CA","Carson City",33.840367,-118.249574
1116,"SAN JASINTO","CA","San Jacinto",33.78391,-116.95864
1117,"BARSTON","CA","Barstow",34.89859,-117.02282
1118,"ONTANO","CA","Oceano",35.09886,-120.61239
1119,"CABANA","CA","Albany",37.88687,-122.29775
1120,"LIVINGTON","CA","Livingston",37.38688,-120.72353
1121,"LAKE SIDE","CA","Lakeside",32.85727,-116.92225
1122,"CARSBROOK","CA","Fallbrook",33.37642,-117.25115
1123,"MONTEBILLO","CA","Montebello",34.00946,-118.10535
1124,"STOCTON","CA","Stockton",37.9577,-121.29078
1125,"POTREREO","CA",NA,NA,NA
1126,"BROWN FIELD","CA",NA,NA,NA
1127,"POSADENA","TX","Pasadena",29.69106,-95.2091
1128,"FRANK FORT","IN","Frankfort",40.27948,-86.51084
1129,"NO NAME","NC",NA,NA,NA
1130,"SOMERTON","LA","Cameron",29.79772,-93.32515
1131,"BAKERS","AZ","Mayer",34.39781,-112.23627
1132,"PAINTED ROCK","AZ",NA,NA,NA
1133,"SABANA","GA","Albany",31.57851,-84.15574
1134,"SLYMAR","CA","Sylmar",34.30778,-118.44925
1135,"PHOENIZ","AZ","Phoenix",33.44838,-112.07404
1136,"YENINGTON","NV","Yerington",38.98575,-119.16293
1137,"DEL SUN","CA","Del Mar",32.95949,-117.26531
1138,"BALWIN PARK","CA","Baldwin Park",34.08529,-117.9609
1139,"SWEETWATER","CA",NA,NA,NA
1140,"HORSECAVE","KY","Horse Cave",37.1795,-85.90692
1141,"UNKNOWN","HI",NA,NA,NA
1142,"SAN ANTONIO","CA","San Antonio Heights",34.15556,-117.65644
1143,"CANTINA","CA","Banning",33.92557,-116.87641
1144,"UTAH","CA","Ukiah",39.15017,-123.20778
1145,"ENSCONDIDO","CA","Escondido",33.11921,-117.08642
1146,"COACHELA","CA","Coachella",33.6803,-116.17389
1147,"VASELIA","CA","Visalia",36.33023,-119.29206
1148,"BERRY","KY","Berea",37.56869,-84.29632
1149,"GLEESON","AZ","Tolleson",33.45004,-112.25932
1150,"FONTENA","CA","Fontana",34.09223,-117.43505
