"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
1701,"COVINA","DE",NA,NA,NA
1702,"LARK","MT","Havre",48.55,-109.68409
1703,"MILTON FREEWATER","CA",NA,NA,NA
1704,"THEMAL","CA","Thermal",33.6403,-116.13945
1705,"CHANDLER","AR",NA,NA,NA
1706,"BELL FLOWER","CA","Bellflower",33.88168,-118.11701
1707,"SANTA FE","DE",NA,NA,NA
1708,"UMLEY","CA","Clay",38.33602,-121.15939
1709,"MERSE","CA","Ceres",37.59493,-120.95771
1710,"LOS ARRIEROS","TX","Los Arrieros Cdp",26.515769,-99.08452
1711,"BLTHE","CA","Blythe",33.6103,-114.59635
1712,"FERNANDO VALLEY","CA","Mead Valley",33.83335,-117.29615
1713,"CAMIRILLO","CA","Camarillo",34.21639,-119.0376
1714,"GLENCLIFF","AZ",NA,NA,NA
1715,"BAKERFIELDS","CA","Bakersfield",35.37329,-119.01871
1716,"BENNING","CA","Banning",33.92557,-116.87641
1717,"MISSION VELLAJO","CA","Mission Viejo",33.60002,-117.672
1718,"ROSWELL","CA","Maxwell",39.27628,-122.19137
1719,"SOMTERON","AZ","Somerton",32.59644,-114.70968
1720,"LOS BARRIOS","CA","Los Banos",37.05828,-120.84992
1721,"ELCENTRO","CA","El Centro",32.792,-115.56305
1722,"LANDCASTER","CA","Lancaster",34.69804,-118.13674
1723,"WALTNUT","CA","Walnut",34.02029,-117.86534
1724,"TACATE","CA","Taft",35.14247,-119.45651
1725,"ALDER","MT","Baker",46.36695,-104.28466
1726,"WORDE LEVAN","UT",NA,NA,NA
1727,"GREENLEE","CO","Greeley",40.42331,-104.70913
1728,"AGILA","AZ","Pima",32.89656,-109.82835
1729,"WATENSVILLE","CA","Watsonville",36.91023,-121.75689
1730,"YUMA","RI",NA,NA,NA
1731,"AGUILAR","AZ",NA,NA,NA
1732,"SAN DIEO","CA","San Diego",32.71571,-117.16472
1733,"CONCORAN","CA","Corcoran",36.09801,-119.5604
1734,"SAN CLEMENTE","AZ",NA,NA,NA
1735,"COPPERS COVE","TX","Copperas Cove",31.12406,-97.90308
1736,"MC ALLEN","TX","Mcallen",26.20341,-98.23001
1737,"GREENLAND","MS","Greenwood",33.51623,-90.17953
1738,"PORT BEACH","CA","Long Beach",33.76696,-118.18923
1739,"LAMPASOS","TX","Lampasas",31.06378,-98.1817
1740,"BENTON","AZ","Benson",31.96786,-110.29452
1741,"ROSEWOOD","TX","Edgewood",32.69818,-95.88524
1742,"SAFORT","AZ","Safford",32.83395,-109.70758
1743,"WASHINGTON  DC","WA",NA,NA,NA
1744,"CHAPARRAL","NH",NA,NA,NA
1745,"ONTORIO","CA","Ontario",34.06334,-117.65089
1746,"CHUL A VISTA","CA","Chula Vista",32.64005,-117.0842
1747,"GRAND STATION","CO",NA,NA,NA
1748,"HARDINDALE","TX","Gardendale",28.51693,-99.21614
1749,"SELENA","KS","Galena",37.0759,-94.63967
1750,"HOUSTONT","TX","Houston",29.76328,-95.36327
