"pathway","group","location","estimate","probability","ci_lower","ci_upper","p_value","significant"
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","DENVER, CO (3307)",0.76083382806249,0.0676376695930732,0.00976139865365479,0.348054330461478,0.291438101677634,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","DETROIT METROPLTN AIRPRT (3807)",-1.12529497024951,0.010882197569994,0.00148325813313288,0.0753451722273845,0.121033307267689,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","DULLES - WASHINGTON, DC (5401)",-0.653661440427939,0.0173262972735348,0.00238556487783732,0.115049169601386,0.36566267262091,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","FORT MYERS (1822)",-12.1816779860768,1.73677028055223e-07,0,1,0.993321784667439,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","FT LAUDERDALE INTL AIRPT (5210)",-0.121608036834808,0.0291420419808306,0.00404655279767243,0.181508364219265,0.866606300936704,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","HONOLULU AIRPORT (3205)",-0.993356391898589,0.0123979749974439,0.00169433471725798,0.0849649175138436,0.170544314150522,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","HOUSTON GEO. BUSH INTERC (5309)",-0.151374608432076,0.0283115639745536,0.00394612955931013,0.176467885151247,0.833641956082105,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","JOHN F KENNEDY AIRPORT (4701)",-0.526871996480341,0.019622472580757,0.00271809183519793,0.128149419209467,0.464103528587998,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","LOS ANGELES INT AIRPORT (2720)",-0.87837931987122,0.0138876603273076,0.00190400109645437,0.0941787672947873,0.224701696327319,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","Los Angeles PIS",-12.1816779850697,1.73677028230143e-07,0,1,0.993321784665546,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","LOS ANGELES, CA (2704)",-12.181677985876,1.73677028090107e-07,0,1,0.985067761233887,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","MIAMI INTERNATIONAL AIRPORT (5206)",-0.515936702283839,0.0198339483394868,0.0027435014552275,0.129557045861034,0.474139024475991,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","MINNEAPOLIS-ST. PAUL, MN (3501)",-1.91225904606688,0.00498338870431657,0.000668614272205064,0.0361358742103038,0.00912429397370208,TRUE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","Nassau (7423)",0.206336433023559,0.0399999999996377,0.0036046805273555,0.324274462069367,0.839490236449061,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","NEW ORLEANS, LA (2002)",-12.1816779868199,1.73677027926172e-07,0,1,0.990555688731105,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","NEW YORK, NY (1001)",-12.1816779842229,1.73677028377209e-07,0,1,0.990555688726993,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","NEW YORK/NEWARK AREA (4601)",-0.326351464414261,0.0238753970693697,0.00331569686571838,0.152423638208276,0.650592337150333,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","ORLANDO SANFORD AIRPORT (1809)",-12.181677985499,1.73677028155586e-07,2.79162632751392e-49,1,0.804036448273598,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","ORLANDO, FL (1808)",-0.393148514667685,0.0223671947809819,0.00309457764944441,0.144294109502019,0.58622275573342,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","PHILA. INTERNATIONAL AIR (1108)",0.23671648478628,0.0411830357143991,0.00580448582699947,0.240115806143735,0.742656447778526,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","PHILADELPHIA, PA (1101)",-0.774492819979278,0.0153846153846071,0.000943662232322317,0.205385561438621,0.531567975343613,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","PHOENIX, AZ (2605)",-0.799720885762162,0.0150070979517114,0.00204523151487386,0.101741250284715,0.272287928573455,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","PORT EVERGLADES, FL (5203)",1.30494872170001,0.111111111111004,0.0103965559596382,0.597953833252222,0.209113126350286,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","SAN ANTONIO, TX (5507)",-0.595291390520794,0.0183486238532151,0.00251432901970304,0.121731826638898,0.412657578187466,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","SAN FRANCISCO INTL AIRPORT (2801)",0.476348023101889,0.0517574353031401,0.00737070110627982,0.286337284320261,0.508442358712861,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","SAN JUAN INTL AIRPORT (4913)",-0.0134471823211644,0.0323631182576149,0.0045097269147222,0.198026272160529,0.985171089558077,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","SAN JUAN, PR (4909)",-12.1816779844634,1.73677028335437e-07,0,1,0.99332178466652,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","SEATTLE-TACOMA INTL ARPT (3029)",0.215291135655663,0.0403452805403692,0.00568433710470822,0.236158332259526,0.765141953834092,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","SEATTLE, WA (3001)",0.439951284211917,0.0499999999998774,0.00309282488788519,0.471703972357559,0.725463634078038,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","TACOMA, WA (3002)",2.28577797471049,0.249999999999562,0.0252214061654828,0.811118250983358,0.0356398575418613,TRUE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","TAMPA, FL (1801)",-1.54304685752939,0.00719293453518373,0.000974516124317069,0.0510631214325033,0.0339942564456234,TRUE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","Toronto (7926)",-12.1816779861918,1.73677028035261e-07,0,1,0.993321784665747,FALSE
"Airport - Aircraft - Person - CBP","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","Average",NA,0.0243814328032736,0.0238264970904872,0.0249659257487149,NA,NA
"Airport - Aircraft - Person - Pre-Clearance","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Aruba (7424)",-5.31206853816152,0.00490751226877743,0.0035875673775657,0.00670982362805467,3.82814739359422e-240,TRUE
"Airport - Aircraft - Person - Pre-Clearance","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Bermuda (7421)",-1.2077489461197,0.00147176879857758,0.000702692796302334,0.00307998087673368,0.000409689179858533,TRUE
"Airport - Aircraft - Person - Pre-Clearance","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Montreal (7925)",-0.287807389767484,0.0036846953546486,0.00206770155281752,0.00655790849047262,0.246261116470611,FALSE
"Airport - Aircraft - Person - Pre-Clearance","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Nassau (7423)",2.53434595792668,0.0585399449035143,0.0379308601927228,0.0893071708385308,2.40171073258636e-51,TRUE
