"pathway","container","product_pathway","product_subpathway","avg_adjusted_prob","avg_adjusted_lower","avg_adjusted_upper","product_proportion","n_locations"
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",0.0122837789273014,0.00567407049139845,0.362459412923238,0.998011137629276,42
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",2.44794318997636e-05,1.13074342196063e-05,0.000722318479320921,0.00198886237072395,42
"Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",0.000380562557634603,0.000198183761046792,0.334256123069314,1,6
"Express_courier","package","swine products/by-products","personal use or consumption",0.000426284503917838,0.000305575614677866,0.615009265015159,0.92156862745098,6
"Express_courier","package","fomite","unspecified feed",2.7209649186245e-05,1.95048264687999e-05,0.0392559105328825,0.0588235294117647,6
"Express_courier","package","swine products/by-products","smuggled commercial products",9.06988306208167e-06,6.50160882293331e-06,0.0130853035109608,0.0196078431372549,6
"Land Border - Truck - Conveyance - CBP NB NB","baggage","swine products/by-products","personal use or consumption",3.81708697853853e-05,8.01316379584273e-06,0.800196000800289,1,25
"Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial",0.000285752991204768,5.54439761877797e-05,0.913342991257186,1,34
"Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption",0.00213963810222785,0.00157204472262401,0.253104248223261,1,8
