"","pathway","INSPECTION_LOCATION_NAME","log_odds","pred_prob","lower_prob","upper_prob","container","product_pathway","product_subpathway","product_proportion","adjusted_prob","adjusted_lower","adjusted_upper"
"1","Airport - Aircraft - Person - CBP","Aruba (7424)",-27.8250017351853,8.23673867524914e-13,0,1,"baggage","other products","animal-based feed",0.0208978328173375,2.06276111117734e-05,2.06276111117734e-05,4.12552222235468e-05
"2","Airport - Aircraft - Person - CBP","ATLANTA, GA (1704)",-4.22433194641189,0.0144240115081063,0.0130371169684497,0.0159560593017606,"baggage","other products","animal-based feed",0.0208978328173375,0.000301430581051756,0.000272447490826735,0.000333447059711714
"3","Airport - Aircraft - Person - CBP","BOSTON - LOGAN AIRPORT, MA (0417)",-4.42845273154845,0.0117922229802162,0.0098762748076758,0.014074572085126,"baggage","other products","animal-based feed",0.0208978328173375,0.000246431904385323,0.000206392739788891,0.000294128054410528
"4","Airport - Aircraft - Person - CBP","BWI AIRPORT (1305)",-6.22732687082999,0.00197083169097354,0.00127182634173972,0.00305284132199499,"baggage","other products","animal-based feed",0.0208978328173375,4.11861111890756e-05,2.65784142623626e-05,6.37977675649108e-05
"5","Airport - Aircraft - Person - CBP","CHARLOTTE, NC (1512)",-5.44265818184676,0.00430931290399805,0.00271665592561578,0.00682928135465488,"baggage","other products","animal-based feed",0.0208978328173375,9.00553006253462e-05,5.67722213557477e-05,0.000142717180012138
"6","Airport - Aircraft - Person - CBP","CHICAGO, IL (3901)",-5.4833139137913,0.00413833875258644,0.00305969328777708,0.00559510913890749,"baggage","other products","animal-based feed",0.0208978328173375,8.64823113930603e-05,6.3940958800295e-05,0.000116925655379646
"7","Airport - Aircraft - Person - CBP","DALLAS/FT WORTH TX (5501)",-4.92974931909536,0.00717644147488242,0.00581986431105503,0.00884641533134285,"baggage","other products","animal-based feed",0.0208978328173375,0.000149972074165499,0.000121622551392017,0.000184870908627134
"8","Airport - Aircraft - Person - CBP","DENVER, CO (3307)",-3.53988881641722,0.0281983345950033,0.0240618597268877,0.0330218501190819,"baggage","other products","animal-based feed",0.0208978328173375,0.000589284082093722,0.000502840721846724,0.000690085103107749
"9","Airport - Aircraft - Person - CBP","DETROIT METROPLTN AIRPRT (3807)",-5.22185620045356,0.0053683268714584,0.00411375321436889,0.00700281816797344,"baggage","other products","animal-based feed",0.0208978328173375,0.000112186397468558,8.59685269256656e-05,0.000146343723324522
"10","Airport - Aircraft - Person - CBP","DULLES - WASHINGTON, DC (5401)",-5.24199893595782,0.00526183913806062,0.00411256230395177,0.00673011688845916,"baggage","other products","animal-based feed",0.0208978328173375,0.000109961034618914,8.59436394788682e-05,0.000140644857576159
"11","Airport - Aircraft - Person - CBP","FT LAUDERDALE INTL AIRPT (5210)",-5.60075840865939,0.00368145708196088,0.00234939978083346,0.00576439738264962,"baggage","other products","animal-based feed",0.0208978328173375,7.69344746230216e-05,4.90973638409469e-05,0.000120463412795309
"12","Airport - Aircraft - Person - CBP","HONOLULU AIRPORT (3205)",-5.1437428681088,0.00580194709410954,0.00449781044392025,0.00748137541506492,"baggage","other products","animal-based feed",0.0208978328173375,0.000121248120387738,9.39944907011197e-05,0.000156344532667765
"13","Airport - Aircraft - Person - CBP","HOUSTON GEO. BUSH INTERC (5309)",-5.40202434194834,0.00448722117448135,0.00354554412208689,0.00567757744300015,"baggage","other products","animal-based feed",0.0208978328173375,9.37731979187279e-05,7.40941883098652e-05,0.000118649064211303
"14","Airport - Aircraft - Person - CBP","JOHN F KENNEDY AIRPORT (4701)",-4.98633192865605,0.00678433243228915,0.0061404749371455,0.00749519225714025,"baggage","other products","animal-based feed",0.0208978328173375,0.000141777844947219,0.000128322618655517,0.000156633274723519
"15","Airport - Aircraft - Person - CBP","LOS ANGELES INT AIRPORT (2720)",-5.21925724889145,0.00538222184845678,0.00421484275292741,0.00687069741022654,"baggage","other products","animal-based feed",0.0208978328173375,0.000112476772374871,8.80810792020435e-05,0.000143582685817428
"16","Airport - Aircraft - Person - CBP","MIAMI INTERNATIONAL AIRPORT (5206)",-6.14281911365923,0.00214424951267054,0.00159606369261104,0.00288017269999374,"baggage","other products","animal-based feed",0.0208978328173375,4.48101678344462e-05,3.33542722140078e-05,6.01893675695285e-05
"17","Airport - Aircraft - Person - CBP","MINNEAPOLIS-ST. PAUL, MN (3501)",-6.2256469455374,0.00197413878195639,0.00127396106162899,0.00305796069736092,"baggage","other products","animal-based feed",0.0208978328173375,4.12552222235468e-05,2.66230252817204e-05,6.39047514154373e-05
"18","Airport - Aircraft - Person - CBP","Nassau (7423)",-27.6307181562274,1.00030300559705e-12,0,1,"baggage","other products","animal-based feed",0.0208978328173375,2.06276111117734e-05,2.06276111117734e-05,4.12552222235468e-05
"19","Airport - Aircraft - Person - CBP","NEW YORK/NEWARK AREA (4601)",-4.75363917109805,0.00854659350264647,0.00737677108042631,0.00990007835616624,"baggage","other products","animal-based feed",0.0208978328173375,0.000178605282176049,0.000154158528770519,0.000206890182365703
"20","Airport - Aircraft - Person - CBP","ORLANDO SANFORD AIRPORT (1809)",-30.4733998886978,5.82868497528449e-14,0,1,"baggage","other products","animal-based feed",0.0208978328173375,2.06276111117734e-05,2.06276111117734e-05,4.12552222235468e-05
"21","Airport - Aircraft - Person - CBP","ORLANDO, FL (1808)",-5.41560645307113,0.00442695523856372,0.00330688949966538,0.00592413986438799,"baggage","other products","animal-based feed",0.0208978328173375,9.2513770465341e-05,6.91068239094159e-05,0.000123801684472504
"22","Airport - Aircraft - Person - CBP","PHILA. INTERNATIONAL AIR (1108)",-4.40415395931495,0.0120787657328463,0.0101014657681303,0.0144374650759577,"baggage","other products","animal-based feed",0.0208978328173375,0.000252420026924806,0.000211098742832444,0.000301711731463513
"23","Airport - Aircraft - Person - CBP","PHILADELPHIA, PA (1101)",-4.15888308335967,0.0153846153846154,0.00216290839771309,0.101230188450344,"baggage","other products","animal-based feed",0.0208978328173375,0.00032150512026673,4.52000980946235e-05,0.00211549155430286
"24","Airport - Aircraft - Person - CBP","PHOENIX, AZ (2605)",-6.93692565628191,0.000970308558121485,0.000403919938691844,0.00232905374222459,"baggage","other products","animal-based feed",0.0208978328173375,2.02773460288546e-05,8.44105135037136e-06,4.86721757276038e-05
"25","Airport - Aircraft - Person - CBP","SAN ANTONIO, TX (5507)",-7.47193207824512,0.000568504832291077,0.000183362812736653,0.00176118836110758,"baggage","other products","animal-based feed",0.0208978328173375,1.18805189410674e-05,3.83188540548733e-06,3.68050199302668e-05
"26","Airport - Aircraft - Person - CBP","SAN FRANCISCO INTL AIRPORT (2801)",-3.44866391890108,0.030808729139923,0.0277257349759883,0.0342224736932287,"baggage","other products","animal-based feed",0.0208978328173375,0.000643835670880743,0.000579407774266009,0.000715175533836823
"27","Airport - Aircraft - Person - CBP","SAN JUAN INTL AIRPORT (4913)",-4.71129128189663,0.00891300135632633,0.00668239462669851,0.0118792877884557,"baggage","other products","animal-based feed",0.0208978328173375,0.00018626241224521,0.00013964756572822,0.000248251370192186
"28","Airport - Aircraft - Person - CBP","SEATTLE-TACOMA INTL ARPT (3029)",-3.76708898070581,0.0225968436154949,0.0199969392738151,0.0255259702896797,"baggage","other products","animal-based feed",0.0208978328173375,0.000472225060076132,0.000417892693802637,0.000533437459614048
"29","Airport - Aircraft - Person - CBP","TAMPA, FL (1801)",-6.71026206964238,0.00121686223381138,0.000720810574585688,0.00205358808956562,"baggage","other products","animal-based feed",0.0208978328173375,2.5429783523922e-05,1.50633788806607e-05,4.29155405714178e-05
"30","Airport - Aircraft - Person - CBP","Aruba (7424)",-27.8250017351853,8.23673867524914e-13,0,1,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.00096453181587459,0.00096453181587459,0.00192906363174918
"31","Airport - Aircraft - Person - CBP","ATLANTA, GA (1704)",-4.22433194641189,0.0144240115081063,0.0130371169684497,0.0159560593017606,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.0140946706880682,0.012739442858102,0.0155917375142978
"32","Airport - Aircraft - Person - CBP","BOSTON - LOGAN AIRPORT, MA (0417)",-4.42845273154845,0.0117922229802162,0.0098762748076758,0.014074572085126,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.0115229733069063,0.00965077162901757,0.0137532099516034
"33","Airport - Aircraft - Person - CBP","BWI AIRPORT (1305)",-6.22732687082999,0.00197083169097354,0.00127182634173972,0.00305284132199499,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.00192583205097066,0.0012427869631938,0.00298313635372962
"34","Airport - Aircraft - Person - CBP","CHARLOTTE, NC (1512)",-5.44265818184676,0.00430931290399805,0.00271665592561578,0.00682928135465488,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.00421091914961109,0.00265462701709746,0.00667334962093792
"35","Airport - Aircraft - Person - CBP","CHICAGO, IL (3901)",-5.4833139137913,0.00413833875258644,0.00305969328777708,0.00559510913890749,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.0040438488197681,0.00298983186982861,0.00546735703395566
"36","Airport - Aircraft - Person - CBP","DALLAS/FT WORTH TX (5501)",-4.92974931909536,0.00717644147488242,0.00581986431105503,0.00884641533134285,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.00701258309755344,0.0056869804123119,0.00864442674599098
"37","Airport - Aircraft - Person - CBP","DENVER, CO (3307)",-3.53988881641722,0.0281983345950033,0.0240618597268877,0.0330218501190819,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.027554487171975,0.023512459678944,0.0322678682471679
"38","Airport - Aircraft - Person - CBP","DETROIT METROPLTN AIRPRT (3807)",-5.22185620045356,0.0053683268714584,0.00411375321436889,0.00700281816797344,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.00524575284459461,0.00401982463865381,0.00684292409989665
"39","Airport - Aircraft - Person - CBP","DULLES - WASHINGTON, DC (5401)",-5.24199893595782,0.00526183913806062,0.00411256230395177,0.00673011688845916,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.00514169652616217,0.00401866092007671,0.00657644935888521
"40","Airport - Aircraft - Person - CBP","FT LAUDERDALE INTL AIRPT (5210)",-5.60075840865939,0.00368145708196088,0.00234939978083346,0.00576439738264962,"baggage","swine products/by-products","personal use or consumption",0.977167182662539,0.00359739904487277,0.00229575636478502,0.00563277995015104
