"","CITY_DEST_NAME","STATE_DEST_CD"
"215","SYUMA","AZ"
"216","VICTOR VILLE","CA"
"217","SAN FREANSCO","CA"
"218","CHULA VISTA","AR"
"219","SAN YIDRO","CA"
"220","MEMPHI","TN"
"221","LRVIN","TX"
"222","INNIS","TX"
"223","TEAECULA","CA"
"224","CORINA","CA"
"225","WINACHI","CA"
"226","SEATTLE","CA"
"227","ENCENITAS","CA"
"228","LE PASO","TX"
"229","PONAMONT","CA"
"230","MOOJESTO","CA"
"231","COMTOWNSHIP","MI"
"232","CANNTILLO","TX"
"233","C PARK","CA"
"234","MONROSE","CO"
"235","LOS CRUCES","NM"
"236","PURDUE","IN"
"237","LOLLISTER","CA"
"238","SAN BORNARDINO","CA"
"239","ARKANSAS","TX"
"240","SAN DIEGO","AK"
"241","SAN YSIDDRO","CA"
"242","FORTSMITH","AR"
"243","ASUZA","CA"
"244","BARRET","CA"
"245","SUISUA","CA"
"246","VASALIA","CA"
"247","HIDALG0","TX"
"248","GILA  BEND","AZ"
"249","GLENDALE","IL"
"250","POLAMA","CA"
"251","FRSNO","CA"
"252","POLOMA","CA"
"253","EL MONTE","TX"
"254","TORONTO","AZ"
"255","SAN DEGO","CA"
"256","CRAWFORD","TX"
"257","LOSANGELOS","CA"
"258","YAKNS","WA"
"259","REVERSIDE","CA"
"260","SANTA","CA"
"261","LOS ANGELO","CA"
"262","DEMMING","NM"
"263","MATTAWA","AZ"
"264","ROLAND HEIGHTS","CA"
"265","HOLLEYWOOD","CA"
"266","PALM VIEW","TX"
"267","AMIANCE","NE"
"268","SENTER","KY"
"269","ROSECRANS","CA"
"270","PETALOMA","CA"
"271","LOD TOWN","CA"
"272","TAMEULA","CA"
"273","IRVINER","CA"
"274","MONTABELLO","CA"
"275","CHEYENE","WY"
"276","SAN MARTCO","CA"
"277","HUNINGTON PARK","CA"
"278","UBA CITY","CA"
"279","ANCORAGE","AK"
"280","TORONTO","AK"
"281","OKACHIE","OK"
"282","OS VEGAS","CA"
"283","FASHION VELLAY","CA"
"284","LORONADO","CA"
"285","ROUNDROCK","TX"
"286","PONONA","CA"
"287","FAIRBALES","AK"
"288","CARLDAD","CA"
"289","PAVAMONT","CA"
"290","JOHNSON CITY","FL"
"291","DILEY","TX"
"292","FVESNO","CA"
"293","NEW PORK BEACH","CA"
"294","OTAY RANCH","CA"
"295","CARSBAD","CA"
"296","PEVVIS","CA"
"297","MARYCOPA","CA"
"298","BERLIN","TX"
"299","EL ANTRO","CA"
"300","HORRIZON","NM"
"301","MONTECELLO","AR"
"302","CLOVER CITY","CA"
"303","ROSEMILL","CA"
"304","MOLESTO","CA"
"305","BAVSTOW","CA"
"306","LESLIE","KS"
"307","PLAM SPRINGS","CA"
"308","BERUMONT","CA"
"309","WASHINGTON PARK","WA"
"310","FONTEAR","CA"
"311","MOHAVE VALLEY","CA"
"312","COLAN","TX"
"313","CHATANOOGA","TN"
"314","OKLAND","CA"
"315","ACOTA","AK"
"316","ROMONA","CA"
"317","GRAND PLAINS","TX"
"318","BALLO LAS PALMAS","CA"
"319","VERLINGTON","FL"
"320","AUSIN","TX"
"321","MONTEBELO","CA"
"322","ALAMAGORDO","NM"
"323","PERISH","CA"
"324","DECAIRO","IN"
"325","CASA GRAND","AZ"
"326","HERFORD","AZ"
"327","ST. PAUL","NC"
"328","JAHRAMKI","AZ"
"329","VEJAS","CA"
"330","PETTERS SUN","AK"
"331","SALOME","CA"
"332","MATTAWAN","NJ"
"333","SENDOR","TX"
"334","WITCHITA","KS"
"335","BAKERSVILLE","CA"
"336","ORTARJO","CA"
"337","LAKE HAVASU","AZ"
"338","RICKLAND","CA"
"339","PL LOMA","CA"
"340","PERRIES","CA"
"341","LITTLE ROCK","VA"
"342","RALIEGH","NC"
"343","DALZURA","CA"
"344","GRAND PRAIRE","TX"
"345","BAIDWIN PARK","CA"
"346","ELCAJON","CA"
"347","AIIZONA YUU","AZ"
"348","ENDERS","NC"
"349","DELTA","CA"
"350","GUYMAN","OK"
"351","FRIENO","CA"
"352","SEHME","CA"
"353","PAMONA","CA"
"354","REACTO","CA"
"355","SAINT CLAUDE","MI"
"356","LAVERNE","CA"
"357","BRODENTON","FL"
"358","LEWEISDALE","MS"
"359","SANTA ROSE","CA"
"360","HOTEL CIRELE","CA"
"361","SAN PREDO","CA"
"362","PONCA","OK"
"363","GOSKEW","CA"
"364","CARLSBAB","CA"
"365","VIEYAS","CA"
"366","NEW BROWNSVILL","NJ"
"367","PHOENIX","LA"
"368","ROSENBURG","TX"
"369","SAN ROSA","CA"
"370","STOOKTON","CA"
"371","FILMOVE","CA"
"372","HORSEWAY","KY"
"373","GRANVILLE","PA"
"374","BERGANFIELD","NJ"
"375","NORTH CAROLINE","NC"
"376","PALO ALTIS","CA"
"377","TUCSON","CA"
"378","WILCOX","AZ"
"379","ONTARIO","DC"
"380","MARYLAND","MN"
"381","TEXAS HILL","AZ"
"382","JACKSONVILLE","MS"
"383","MEDFORD","WA"
"384","WOODRIDGE","VA"
"385","HAUNT","CA"
"386","BONITO SPRINGS","FL"
"387","LA HAVANA","TX"
"388","CONTRA COSTA","CA"
"389","RIO RIO","AZ"
"390","CUTTER","CA"
"391","TOPIKA","KS"
"392","IMPEREAL VALLEY","CA"
"393","GAINSVILLE","TX"
"394","GRANDVIEW","CA"
"395","LAKE WOOD","CA"
"396","TUSFIR","CA"
"397","KENETT","MO"
"398","TAYLOR SPRINGS","IL"
"399","UEATORE","CA"
"400","BARROW ALASKA","CA"
"401","BULL HEAD CITY","AZ"
"402","ALHERBRY","CA"
"403","RIORICO","AZ"
"404","MEADOWHILLS","AZ"
"405","LA PUENTA","CA"
"406","LINSEY","CA"
"407","JALISCO","CA"
"408","EVERSTON","WY"
"409","PICORIVIA","CA"
"410","PRTESTON","AZ"
"411","GARBER","IA"
"412","BEN FLOWER","CA"
"413","RANCHO PENASGUITOS","CA"
"414","CALSBAD","CA"
"415","VEGAS","NM"
"416","FORTANG","CA"
"417","LAUCHLIN","NV"
"418","WILLMANTON","CA"
"419","PACOIMA","WA"
"420","SAN JAN CAPISHADO","CA"
"421","DESERT PALM SPRINGS","CA"
"422","EAST LAKE","CA"
"423","CASA DE ORO","CA"
"424","SAN FRANSCISCO","CA"
"425","GOLDEN NUSSAUS","CA"
"426","WENCHESTER","WV"
"427","MISSION VIEGO","CA"
"428","CANSECO","LA"
"429","MOUNT","MS"
"430","PALOMAR","CA"
"431","WELTON","DE"
"432","TUXTON","AZ"
"433","HACIENDATTI","CA"
"434","LA MEZA","CA"
"435","WHIHIER","CA"
"436","CAS GRANDE","AZ"
"437","LOCK HOIN","CA"
"438","VALEGARDEN","CA"
"439","SALEUR","OR"
"440","CITY VILLAGE","GA"
"441","ARLIZTO","VA"
"442","SYLMER","CA"
"443","FALFURIAS","TX"
"444","PRESIDIO","CA"
"445","SAN TEE","CA"
"446","ENCINTES","AR"
"447","VISELIA","CA"
"448","EL SELJUNER","CA"
"449","HOLISTER","CA"
"450","PAYAL","WA"
"451","SYCUNA CASNO","CA"
"452","SUNAZONA","AZ"
"453","RANCO BERNARDO","CA"
"454","SYCUAN CASINO","CA"
"455","NORMANGEE","TX"
"456","APLINE","CA"
"457","OLEDA","KS"
"458","MORGAN","MI"
"459","PHARER","TX"
"460","DEL HART","TX"
"461","LEON GROVE","CA"
"462","MORENA","AZ"
"463","LINDBERG","GA"
"464","MELIBU","CA"
"465","SAN TUAN","AR"
"466","ALISPERIA","CA"
"467","SUNSITES","AZ"
"468","IRIVNE","CA"
"469","ENCINTO","CA"
"470","LAKEWELLS","FL"
"471","ONTARRO","CA"
"472","BENZONI","MI"
"473","SALIRAS","CA"
"474","GADSTEN","AZ"
"475","BARD","IA"
"476","QAURTZSITE","AZ"
"477","SALTILLO","TX"
"478","WHETSTONE","AZ"
"479","HIDDENITE","NC"
"480","PLAN CITY","FL"
"481","BEAMONT","CA"
"482","LAREDO","LA"
"483","LAVEL","FL"
"484","DODD CITY","TX"
"485","LEE CENTER","MN"
"486","CHICAGO","TX"
"487","SPRING VALLEY","VT"
"488","DOEREY","CA"
"489","SAHARITA","AZ"
"490","CLIMAX","GA"
"491","LOS FRENOS","TX"
"492","HEMITANGA","AR"
"493","LOUSIANA","LA"
"494","SAN RAMERO","CA"
"495","SUAHUARITA","AZ"
"496","SAN JOSE","AR"
"497","BULL HEAD","AZ"
"498","TORONTO","ME"
"499","BULL HEAT","AZ"
"500","SAN LUIS","ME"
"501","SANTANOUICA","CA"
"502","PARAROMA CITY","CA"
"503","BONITO","CA"
"504","BLACK FOOT","ID"
"505","OKLAHOMA","TX"
"506","GASDEN","AZ"
"507","CALANTE","CA"
"508","ASAN LUIS","AZ"
"509","SALINUS","CA"
"510","EL MANTE","CA"
"511","DNARTE","CA"
"512","KINGSBERG","CA"
"513","SAHAURITA","AZ"
"514","PRIMM","NV"
