"","X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
"1",1,"SAN BERNADINO","CA","San Bernardino","34.10834","-117.28977"
"2",2,"SAN DEIGO","CA","San Diego","32.71571","-117.16472"
