"REMARKS"
"This pest/commodity scenario we can prescribe T201-c-1, this treatment can be used for mealybugs, treating only at or above 60F."
"Various animal products from China (poultry, pork, beef) imported into U.S. in violation of 9 CFR 94 and/or Animal Protection Act, Section 8306.  Products will be safeguarded on site and destroyed by approved methods under USDA supervision."
"Swine Product was Concealed in the Basement. Store manager/staff refused to provide pathway information."
"Various animal products from China (poultry, pork, beef) imported into U.S. in violation of 9 CFR 94 and/or Animal Protection Act, Section 8306.  Products will be safeguarded on site and destroyed by approved methods under USDA supervision."
"Swine Product was Concealed in the Basement. Store manager/staff refused to provide pathway information."
"The above listed articles are noncompliant per 9 CFR 94. Cooked swine products from regions affected with foot and mouth disease must have been prepared in an establishment that is eligible to have it's products imported into the United States. There are no such establishments in China."
"Various animal products from China (poultry, pork, beef) imported into U.S. in violation of 9 CFR 94 and/or Animal Protection Act, Section 8306.  Products will be safeguarded on site and destroyed by approved methods under USDA supervision."
"Actionable mealybugs collected from Monstera sp. All plants are comingled. Treatment is not available b/c plants are wrapped in individual plastic bags. Re-export or destroy. "
"Mealybug to be treated above 60F."
"Per 9 CFR 94, avian, ruminant, and swine products imported from Vietnam requires a Veterinary (VS) Certificate before being imported. Please hold the product and do not sell, dispose of, or remove the product from its location until directed to do so by USDA-SITC personnel. "
"Swine and poultry products imported from China without the presence of a permit and/or VS Certificate is prohibited. Products will be safeguarded on-site by owner until arrangements can be made for destruction by approved methods under USDA supervision. "
"Various animal products from China (poultry, pork, beef) imported into U.S. in violation of 9 CFR 94 and/or Animal Protection Act, Section 8306.  Products will be safeguarded on site and destroyed by approved methods under USDA supervision."
"Swine and poultry products imported from China without the presence of a permit and/or VS Certificate is prohibited. Products will be safeguarded on-site by owner until arrangements can be made for destruction by approved methods under USDA supervision. "
"At the time of the violation on 11-25-24, China was a region affected with foot-and-mouth disease (FMD), African swine fever (ASF), classical swine fever (CSF), and swine vesicular disease (SVD). This shipment is prohibited as it violated the Animal Health Protection Act (7 U.S.C. § 8301 et seq.), 9 C.F.R. 94, and 9 C.F.R. § 327. In response to the violations, the following regulatory action applies, and shall be immediately destroyed or otherwise disposed of as the Administrator may direct at any time. USDA nor its employees will be responsible for the cost to comply with our orders."
"PER 9CFR94 AVIAN/BOVINE/PORCINE PRODUCTS FROM CHINA ARE REGULATED TO PEVENT THE INTRODUCTION AND SPREAD OF FOREIGN ANIMAL DISEASES. MEAT SNACKS WILL BE SEIZED. MOON CAKES WILL BE PLACED ON HOLD. "
"Per 9CFR94 the importation of pork products from China is regulated to prevent the introduction and spread of foreign animal disease."
"WenZhouYaShe Brand Duck Tongue (UPC 6941248800288) ZaiWeiKe Brand Spicy Duck Heart (UPC 6972142880106) PingGe Brand Duck Feet (UPC 6950320001611) JiuShangNi Brand Soaked Duck Wings (UPC 6970655891626) AoJingQi Brand Hero Mini Sausage Orleans Flavor (UPC 6921803403048) Lemon Duck Feet (UPC 6954754906290) LiLuXiang Brand Chicken Neck (UPC 6947325460611)"
"Swine concealed in unmarked boxes in basement. Staff refused to Provide Pathway Information to USDA SITC and FSIS."
"This pest/commodity scenario we can prescribe T201-c-1, this treatment can be used for mealybugs, treating only at or above 60F."
"Pork from Thailand is prohibited as per 9 CFR 94 due to the presence of African Swine Fever. The product was seized by USDA."
"Actionable mealybugs collected from Monstera sp. All plants are comingled. Treatment is not available b/c plants are wrapped in individual plastic bags. Re-export or destroy. "
"PER 9CFR94 AVIAN/BOVINE/PORCINE PRODUCTS FROM CHINA ARE REGULATED TO PEVENT THE INTRODUCTION AND SPREAD OF FOREIGN ANIMAL DISEASES. MEAT SNACKS WILL BE SEIZED. MOON CAKES WILL BE PLACED ON HOLD. "
"Various animal products from China (poultry, pork, beef) imported into U.S. in violation of 9 CFR 94 and/or Animal Protection Act, Section 8306.  Products will be safeguarded on site and destroyed by approved methods under USDA supervision."
"Various animal products from China (poultry, pork, beef) imported into U.S. in violation of 9 CFR 94 and/or Animal Protection Act, Section 8306.  Products will be safeguarded on site and destroyed by approved methods under USDA supervision."
"Mealybugs, White Flies, Aphids, Soft Scale, Pseudocerradoa, and Colletotrichum sp. was found on the shipment.  The shipment has commingled commodities.  The only form of treatment is re-export or destroy"
"10 bags containing Spice Rice Crackers with Pork Floss were seized for destruction. Product arrived without IP and Veterinarian Certificate."
"Swine concealed in unmarked boxes in basement. Staff refused to Provide Pathway Information to USDA SITC and FSIS."
"Actionable mealybugs identified on this cargo. Please re-export, treat, or destroy this cargo. "
"Actionable mealybugs collected from Monstera sp. All plants are comingled. Treatment is not available b/c plants are wrapped in individual plastic bags. Re-export or destroy. "
"Mealybugs, White Flies, Aphids, Soft Scale, Pseudocerradoa, and Colletotrichum sp. was found on the shipment.  The shipment has commingled commodities.  The only form of treatment is re-export or destroy"
"Plants were found infected with a pathogenic bacterium. All plants are comingled in boxes, belong to the same family impacted by the bacterium, and are sourced to the same farm, so all plants in the shipment will share the same fate. Treatment is not available for bacteria, so the plants will have to be re-exported or destroyed. "
"These chicken sausages are from Thailand an require a USDA import permit and certification from the country of origin. Without these requirements, the product is non-compliant and has been seized by USDA."
"The above items are noncompliant under 9 CFR 94, importation of pork from China. The above items are seized for destruction under USDA supervision."
