entry_type,container,ITEM_TYPE,ITEM,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
eco,package,Animal,Pork,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Pork,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Pork,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Pork,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Pizza w/ Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,Pizza w/ Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,Pizza w/ Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Pizza w/ Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Pizza w/ Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Pet Food,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
eco,package,Animal,Pet Food,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
mail,package,Animal,Pet Food,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
passenger,baggage,Animal,Pet Food,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
unknown,unknown,Animal,Pet Food,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
commercial,container,Animal,Pepperoni,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,Pepperoni,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,Pepperoni,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Pepperoni,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Pepperoni,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Pate,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Pate,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Pate,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Pate,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Pate,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,"Paste, Liver",HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,"Paste, Liver",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,"Paste, Liver",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Paste, Liver",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Paste, Liver",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Mooncake With Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,Mooncake With Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,Mooncake With Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Mooncake With Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Mooncake With Meat,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Wild Animal",HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,"Meat, Wild Animal",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Wild Animal",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Wild Animal",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Wild Animal",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Tamale",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Tamale",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Tamale",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Tamale",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Tamale",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Sandwich",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Sandwich",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Sandwich",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Sandwich",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Sandwich",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Processed",HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,"Meat, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Preserved",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Preserved",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Preserved",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Preserved",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Preserved",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Minced",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Minced",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Minced",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Minced",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Minced",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Hot Dog",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Hot Dog",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Hot Dog",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Hot Dog",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Hot Dog",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Cooked",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Cooked",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Cooked",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Cooked",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Cooked",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Canned",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Canned",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Canned",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Canned",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Canned",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Broth",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Broth",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Broth",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Broth",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Broth",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Meat, Bologna",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Meat, Bologna",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Meat, Bologna",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Meat, Bologna",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Meat, Bologna",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Meat,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Meat,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Meat,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Meat,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Meat,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Manure,HIGH,HIGH,HIGH,fomite,contaminant
eco,package,Animal,Manure,HIGH,HIGH,HIGH,fomite,contaminant
mail,package,Animal,Manure,HIGH,HIGH,HIGH,fomite,contaminant
passenger,baggage,Animal,Manure,HIGH,HIGH,HIGH,fomite,contaminant
unknown,unknown,Animal,Manure,HIGH,HIGH,HIGH,fomite,contaminant
commercial,container,Animal,"Hide, Animal",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Hide, Animal",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Hide, Animal",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Hide, Animal",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Hide, Animal",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Hay, straw, and similar materials for animal uses",LOW,LOW,LOW,fomite,plant based feed
eco,package,Animal,"Hay, straw, and similar materials for animal uses",LOW,LOW,LOW,fomite,plant based feed
mail,package,Animal,"Hay, straw, and similar materials for animal uses",LOW,LOW,LOW,fomite,plant based feed
passenger,conveyance,Animal,"Hay, straw, and similar materials for animal uses",LOW,LOW,LOW,fomite,plant based feed
unknown,unknown,Animal,"Hay, straw, and similar materials for animal uses",LOW,LOW,LOW,fomite,plant based feed
commercial,container,Neutral,"Equipment, Farm",LOW,,,fomite,equipment
eco,vehicle,Neutral,"Equipment, Farm",LOW,,,fomite,equipment
mail,vehicle,Neutral,"Equipment, Farm",LOW,,,fomite,equipment
passenger,vehicle,Neutral,"Equipment, Farm",LOW,,,fomite,equipment
unknown,unknown,Neutral,"Equipment, Farm",LOW,,,fomite,equipment
commercial,container,Animal,"Animal, Live",HIGH,HIGH,HIGH,live animals,illegal imports
eco,package,Animal,"Animal, Live",HIGH,HIGH,HIGH,live animals,illegal imports
mail,package,Animal,"Animal, Live",HIGH,HIGH,HIGH,live animals,illegal imports
passenger,baggage,Animal,"Animal, Live",HIGH,HIGH,HIGH,live animals,illegal imports
unknown,unknown,Animal,"Animal, Live",HIGH,HIGH,HIGH,live animals,unknown
commercial,container,Animal,"Animal, Carcass",HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,"Animal, Carcass",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,"Animal, Carcass",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Animal, Carcass",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Animal, Carcass",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Animal Vaccine,LOW,,,other products,vaccine
eco,package,Animal,Animal Vaccine,LOW,,,other products,vaccine
mail,package,Animal,Animal Vaccine,LOW,,,other products,vaccine
passenger,baggage,Animal,Animal Vaccine,LOW,,,other products,vaccine
unknown,unknown,Animal,Animal Vaccine,LOW,,,other products,vaccine
commercial,container,Animal,Animal Trophy,LOW,LOW,LOW,fomite,personal effects
eco,package,Animal,Animal Trophy,LOW,LOW,LOW,fomite,personal effects
mail,package,Animal,Animal Trophy,LOW,LOW,LOW,fomite,personal effects
passenger,baggage,Animal,Animal Trophy,LOW,LOW,LOW,fomite,personal effects
unknown,unknown,Animal,Animal Trophy,LOW,LOW,LOW,fomite,personal effects
commercial,container,Animal,Animal Skull,LOW,LOW,LOW,fomite,personal effects
eco,package,Animal,Animal Skull,LOW,LOW,LOW,fomite,personal effects
mail,package,Animal,Animal Skull,LOW,LOW,LOW,fomite,personal effects
passenger,baggage,Animal,Animal Skull,LOW,LOW,LOW,fomite,personal effects
unknown,unknown,Animal,Animal Skull,LOW,LOW,LOW,fomite,personal effects
commercial,container,Animal,Animal Skin,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,Animal Skin,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,Animal Skin,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Animal Skin,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Animal Skin,MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Animal Part,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Animal Part,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Animal Part,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Animal Part,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Animal Part,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Animal Horn/Antler,LOW,LOW,LOW,fomite,personal effects
eco,package,Animal,Animal Horn/Antler,LOW,LOW,LOW,fomite,personal effects
mail,package,Animal,Animal Horn/Antler,LOW,LOW,LOW,fomite,personal effects
passenger,baggage,Animal,Animal Horn/Antler,LOW,LOW,LOW,fomite,personal effects
unknown,unknown,Animal,Animal Horn/Antler,LOW,LOW,LOW,fomite,personal effects
commercial,container,Animal,Animal Gelatin,LOW,LOW,LOW,swine products/by-products,commercial
eco,package,Animal,Animal Gelatin,LOW,LOW,LOW,swine products/by-products,personal use or consumption
mail,package,Animal,Animal Gelatin,LOW,LOW,LOW,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Animal Gelatin,LOW,LOW,LOW,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Animal Gelatin,LOW,LOW,LOW,swine products/by-products,personal use or consumption
commercial,container,Animal,Animal Food/Feed,LOW,LOW,LOW,other products,unspecified feed
eco,package,Animal,Animal Food/Feed,LOW,LOW,LOW,other products,unspecified feed
mail,package,Animal,Animal Food/Feed,LOW,LOW,LOW,other products,unspecified feed
passenger,baggage,Animal,Animal Food/Feed,LOW,LOW,LOW,other products,unspecified feed
unknown,unknown,Animal,Animal Food/Feed,LOW,LOW,LOW,other products,unspecified feed
commercial,container,Animal,Animal Blood,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Animal Blood,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Animal Blood,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Animal Blood,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Animal Blood,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Animal_IBL,HIGH,,,swine products/by-products,personal use or consumption
